course_id,course_name,rating,workload,difficulty
CS-6210,Advanced Operating Systems,5,20,5
CS-6210,Advanced Operating Systems,NULL,10,4
CS-6210,Advanced Operating Systems,5,15,4
CS-6210,Advanced Operating Systems,NULL,20,4
CS-6210,Advanced Operating Systems,4,25,5
CS-6210,Advanced Operating Systems,5,25,4
CS-6210,Advanced Operating Systems,NULL,6,4
CS-6210,Advanced Operating Systems,5,15,4
CS-6210,Advanced Operating Systems,5,16,4
CS-6210,Advanced Operating Systems,NULL,20,5
CS-6210,Advanced Operating Systems,5,15,3
CS-6210,Advanced Operating Systems,2,25,4
CS-6210,Advanced Operating Systems,5,15,4
CS-6210,Advanced Operating Systems,NULL,14,4
CS-6210,Advanced Operating Systems,5,15,4
CS-6210,Advanced Operating Systems,NULL,15,4
CS-6210,Advanced Operating Systems,5,15,4
CS-6210,Advanced Operating Systems,5,12,5
CS-6210,Advanced Operating Systems,5,15,4
CS-6210,Advanced Operating Systems,5,18,5
CS-6210,Advanced Operating Systems,5,30,5
CS-6210,Advanced Operating Systems,4,18,5
CS-6210,Advanced Operating Systems,4,15,4
CS-6210,Advanced Operating Systems,5,19,4
CS-6210,Advanced Operating Systems,NULL,20,4
CS-6210,Advanced Operating Systems,5,15,4
CS-6210,Advanced Operating Systems,4,7,4
CS-6210,Advanced Operating Systems,5,18,3
CS-6210,Advanced Operating Systems,5,25,5
CS-6210,Advanced Operating Systems,4,15,4
CS-6210,Advanced Operating Systems,3,15,4
CS-6210,Advanced Operating Systems,5,15,5
CS-6210,Advanced Operating Systems,4,15,4
CS-6210,Advanced Operating Systems,5,30,4
CS-6210,Advanced Operating Systems,5,18,4
CS-6210,Advanced Operating Systems,5,15,5
CS-6210,Advanced Operating Systems,3,20,4
CS-6210,Advanced Operating Systems,NULL,15,4
CS-6210,Advanced Operating Systems,NULL,15,4
CS-6210,Advanced Operating Systems,4,20,4
CS-6210,Advanced Operating Systems,5,15,4
CS-6210,Advanced Operating Systems,5,14,4
CS-6210,Advanced Operating Systems,4,15,5
CS-6210,Advanced Operating Systems,5,18,4
CS-6210,Advanced Operating Systems,5,15,3
CS-6210,Advanced Operating Systems,NULL,15,4
CS-6210,Advanced Operating Systems,4,20,5
CS-6210,Advanced Operating Systems,NULL,8,4
CS-6210,Advanced Operating Systems,5,18,4
CS-6210,Advanced Operating Systems,NULL,20,4
CS-6210,Advanced Operating Systems,NULL,10,4
CS-6210,Advanced Operating Systems,5,15,4
CS-6210,Advanced Operating Systems,NULL,5,3
CS-6210,Advanced Operating Systems,3,20,4
CS-6210,Advanced Operating Systems,NULL,10,4
CS-6210,Advanced Operating Systems,NULL,20,5
CS-6210,Advanced Operating Systems,NULL,10,4
CS-6210,Advanced Operating Systems,NULL,30,5
CS-6210,Advanced Operating Systems,NULL,5,4
CS-6210,Advanced Operating Systems,5,20,4
CS-6210,Advanced Operating Systems,4,15,4
CS-6210,Advanced Operating Systems,NULL,20,4
CS-6210,Advanced Operating Systems,NULL,8,4
CS-6210,Advanced Operating Systems,2,25,5
CS-6210,Advanced Operating Systems,NULL,20,4
CS-6210,Advanced Operating Systems,4,10,5
CS-6210,Advanced Operating Systems,4,15,4
CS-6210,Advanced Operating Systems,NULL,20,4
CS-6210,Advanced Operating Systems,5,20,5
CS-6210,Advanced Operating Systems,NULL,5,3
CS-6210,Advanced Operating Systems,NULL,5,4
CS-6210,Advanced Operating Systems,NULL,15,4
CS-6210,Advanced Operating Systems,NULL,20,4
CS-6210,Advanced Operating Systems,4,12,4
CS-6210,Advanced Operating Systems,NULL,10,4
CS-6210,Advanced Operating Systems,NULL,15,4
CS-6210,Advanced Operating Systems,NULL,5,4
CS-6210,Advanced Operating Systems,NULL,10,4
CS-6210,Advanced Operating Systems,NULL,6,4
CS-6210,Advanced Operating Systems,4,15,4
CS-6210,Advanced Operating Systems,NULL,15,3
CS-6210,Advanced Operating Systems,5,15,4
CS-6210,Advanced Operating Systems,4,18,4
CS-6210,Advanced Operating Systems,3,15,4
CS-6210,Advanced Operating Systems,NULL,20,3
CS-6210,Advanced Operating Systems,5,15,4
CS-6210,Advanced Operating Systems,NULL,20,5
CS-6601,Artificial Intelligence,4,15,3
CS-6601,Artificial Intelligence,2,20,4
CS-6601,Artificial Intelligence,4,20,4
CS-6601,Artificial Intelligence,5,25,5
CS-6601,Artificial Intelligence,5,18,4
CS-6601,Artificial Intelligence,4,15,4
CS-6601,Artificial Intelligence,4,25,5
CS-6601,Artificial Intelligence,5,8,4
CS-6601,Artificial Intelligence,4,20,3
CS-6601,Artificial Intelligence,4,15,3
CS-6601,Artificial Intelligence,1,40,5
CS-6601,Artificial Intelligence,5,25,4
CS-6601,Artificial Intelligence,5,30,4
CS-6601,Artificial Intelligence,4,20,3
CS-6601,Artificial Intelligence,3,26,5
CS-6601,Artificial Intelligence,4,25,5
CS-6601,Artificial Intelligence,4,20,4
CS-6601,Artificial Intelligence,5,30,5
CS-6601,Artificial Intelligence,2,25,5
CS-6601,Artificial Intelligence,5,25,4
CS-6601,Artificial Intelligence,3,30,4
CS-6601,Artificial Intelligence,5,25,5
CS-6601,Artificial Intelligence,5,40,5
CS-6601,Artificial Intelligence,4,25,4
CS-6601,Artificial Intelligence,4,30,5
CS-6601,Artificial Intelligence,4,24,4
CS-6601,Artificial Intelligence,3,25,4
CS-6601,Artificial Intelligence,2,40,4
CS-6601,Artificial Intelligence,3,23,4
CS-6601,Artificial Intelligence,5,20,5
CS-6601,Artificial Intelligence,5,30,5
CS-6601,Artificial Intelligence,5,15,3
CS-6601,Artificial Intelligence,5,12,4
CS-6601,Artificial Intelligence,5,15,4
CS-6601,Artificial Intelligence,4,30,4
CS-6601,Artificial Intelligence,5,10,4
CS-6601,Artificial Intelligence,1,30,5
CS-6601,Artificial Intelligence,4,25,5
CS-6601,Artificial Intelligence,2,8,3
CS-6601,Artificial Intelligence,4,30,5
CS-6601,Artificial Intelligence,5,20,4
CS-6601,Artificial Intelligence,4,25,4
CS-6601,Artificial Intelligence,5,20,4
CS-6601,Artificial Intelligence,5,22,5
CS-6601,Artificial Intelligence,4,10,4
CS-6601,Artificial Intelligence,5,24,5
CS-6601,Artificial Intelligence,4,15,3
CS-6601,Artificial Intelligence,5,20,4
CS-6601,Artificial Intelligence,5,25,5
CS-6601,Artificial Intelligence,5,12,4
CS-6601,Artificial Intelligence,5,30,5
CS-6601,Artificial Intelligence,5,15,4
CS-6601,Artificial Intelligence,5,25,5
CS-6601,Artificial Intelligence,5,15,4
CS-6601,Artificial Intelligence,2,35,5
CS-6601,Artificial Intelligence,4,30,5
CS-6601,Artificial Intelligence,4,20,4
CS-6601,Artificial Intelligence,4,40,5
CS-6601,Artificial Intelligence,4,25,5
CS-6601,Artificial Intelligence,5,16,3
CS-6601,Artificial Intelligence,5,25,4
CS-6601,Artificial Intelligence,5,20,4
CS-6601,Artificial Intelligence,5,10,3
CS-6601,Artificial Intelligence,1,30,3
CS-6601,Artificial Intelligence,5,25,5
CS-6601,Artificial Intelligence,5,40,4
CS-6601,Artificial Intelligence,4,30,5
CS-6601,Artificial Intelligence,5,25,5
CS-6601,Artificial Intelligence,5,10,2
CS-6601,Artificial Intelligence,4,25,4
CS-6601,Artificial Intelligence,5,25,5
CS-6601,Artificial Intelligence,5,30,4
CS-6601,Artificial Intelligence,5,12,3
CS-6601,Artificial Intelligence,4,30,4
CS-6601,Artificial Intelligence,4,30,5
CS-6601,Artificial Intelligence,4,8,4
CS-6601,Artificial Intelligence,3,22,5
CS-6601,Artificial Intelligence,5,20,4
CS-6601,Artificial Intelligence,4,25,5
CS-6601,Artificial Intelligence,5,20,5
CS-6601,Artificial Intelligence,NULL,35,5
CS-6601,Artificial Intelligence,2,15,5
CS-6601,Artificial Intelligence,4,8,3
CS-6601,Artificial Intelligence,5,5,2
CS-6601,Artificial Intelligence,2,30,5
CS-6601,Artificial Intelligence,NULL,30,5
CS-6601,Artificial Intelligence,3,16,5
CS-6601,Artificial Intelligence,5,25,4
CS-6601,Artificial Intelligence,4,40,5
CS-6601,Artificial Intelligence,5,15,4
CS-6601,Artificial Intelligence,NULL,30,5
CS-6601,Artificial Intelligence,5,18,4
CS-6601,Artificial Intelligence,4,20,4
CS-6601,Artificial Intelligence,5,20,5
CS-6601,Artificial Intelligence,5,21,5
CS-6601,Artificial Intelligence,NULL,25,4
CS-6601,Artificial Intelligence,5,25,5
CS-6601,Artificial Intelligence,NULL,30,5
CS-6601,Artificial Intelligence,4,20,5
